Conservation,Study Region,Contractor,2025,2030,2035,2040,2045,Notes
Rationing program threshold (%),Southern California,Coachella Valley Water District,80,80,80,80,80,
Rationing program threshold (%),Southern California,Crestline-Lake Arrowhead Water Agency,80,80,80,80,80,
Rationing program threshold (%),Southern California,Desert Water Agency,80,80,80,80,80,
Rationing program threshold (%),Southern California,Metropolitan Water District of Southern California,80,80,80,80,80,
Rationing program threshold (%),Southern California,Mojave Water Agency,80,80,80,80,80,
Rationing program threshold (%),Southern California,Palmdale Water District & Littlerock Creek Irrigation District,80,80,80,80,80,
Rationing program threshold (%),Southern California,San Bernardino Valley Municipal Water District,80,80,80,80,80,
Rationing program threshold (%),Southern California,San Gabriel Valley Municipal Water District,80,80,80,80,80,
Rationing program threshold (%),Southern California,San Gorgonio Pass Water Agency,80,80,80,80,80,
Rationing program threshold (%),Southern California,Ventura County Watershed Protection District,80,80,80,80,80,
Cost for rationing program ($/capita),Central Valley - Sacramento Valley,City of Folsom,0.5,0.5,0.5,0.5,0.5,
Cost for rationing program ($/capita),Central Valley - Sacramento Valley,City of Redding,0.5,0.5,0.5,0.5,0.5,
Cost for rationing program ($/capita),Central Valley - Sacramento Valley,City of Roseville,0.5,0.5,0.5,0.5,0.5,
Cost for rationing program ($/capita),Central Valley - Sacramento Valley,City of West Sacramento,0.5,0.5,0.5,0.5,0.5,
Cost for rationing program ($/capita),Central Valley - Sacramento Valley,Yuba City,0.5,0.5,0.5,0.5,0.5,
Cost for rationing program ($/capita),Central Valley - Sacramento Valley,El Dorado Irrigation District,0.5,0.5,0.5,0.5,0.5,
Cost for rationing program ($/capita),Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,0.5,0.5,0.5,0.5,0.5,
Cost for rationing program ($/capita),Central Valley - Sacramento Valley,Placer County Water Agency,0.5,0.5,0.5,0.5,0.5,
Cost for rationing program ($/capita),Central Valley - Sacramento Valley,Sacramento County Water Agency,0.5,0.5,0.5,0.5,0.5,
Cost for rationing program ($/capita),Central Valley - Sacramento Valley,San Juan Water District,0.5,0.5,0.5,0.5,0.5,
Cost for rationing program ($/capita),Central Valley - Sacramento Valley,Shasta Contractors,0.5,0.5,0.5,0.5,0.5,
Cost for rationing program ($/capita),Central Valley - Sacramento Valley,Solano County Water Agency,0.5,0.5,0.5,0.5,0.5,
Cost for rationing program ($/capita),Central Valley - San Joaquin Valley,City of Avenal,0.5,0.5,0.5,0.5,0.5,
Cost for rationing program ($/capita),Central Valley - San Joaquin Valley,City of Coalinga,0.5,0.5,0.5,0.5,0.5,
Cost for rationing program ($/capita),Central Valley - San Joaquin Valley,City of Fresno,0.5,0.5,0.5,0.5,0.5,
Cost for rationing program ($/capita),Central Valley - San Joaquin Valley,City of Huron,0.5,0.5,0.5,0.5,0.5,
Cost for rationing program ($/capita),Central Valley - San Joaquin Valley,City of Lindsay,0.5,0.5,0.5,0.5,0.5,
Cost for rationing program ($/capita),Central Valley - San Joaquin Valley,City of Orange Cove,0.5,0.5,0.5,0.5,0.5,
Cost for rationing program ($/capita),Central Valley - San Joaquin Valley,City of Tracy,0.5,0.5,0.5,0.5,0.5,
Cost for rationing program ($/capita),Central Valley - San Joaquin Valley,Kern County Water Agency,0.5,0.5,0.5,0.5,0.5,
Cost for rationing program ($/capita),Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,0.5,0.5,0.5,0.5,0.5,
Cost for rationing program ($/capita),Central Valley - San Joaquin Valley,Stockton-East Water District,0.5,0.5,0.5,0.5,0.5,
Cost for rationing program ($/capita),San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",0.5,0.5,0.5,0.5,0.5,
Cost for rationing program ($/capita),San Francisco Bay Area,Alameda County Water District,0.5,0.5,0.5,0.5,0.5,
Cost for rationing program ($/capita),San Francisco Bay Area,Contra Costa Water District,0.5,0.5,0.5,0.5,0.5,
Cost for rationing program ($/capita),San Francisco Bay Area,East Bay Municipal Utilities District,0.5,0.5,0.5,0.5,0.5,
Cost for rationing program ($/capita),San Francisco Bay Area,"San Benito County Water District, Zone 6",0.5,0.5,0.5,0.5,0.5,
Cost for rationing program ($/capita),San Francisco Bay Area,Santa Clara Valley Water District,0.5,0.5,0.5,0.5,0.5,
Cost for rationing program ($/capita),Central Coast,San Luis Obispo County Flood Control & Water Conservation District,0.5,0.5,0.5,0.5,0.5,
Cost for rationing program ($/capita),Central Coast,Santa Barbara County Flood Control & Water Conservation District,0.5,0.5,0.5,0.5,0.5,
Cost for rationing program ($/capita),Southern California,Antelope Valley-East Kern Water Agency,0.5,0.5,0.5,0.5,0.5,
Cost for rationing program ($/capita),Southern California,Santa Clarita Water Division,0.5,0.5,0.5,0.5,0.5,
Cost for rationing program ($/capita),Southern California,Coachella Valley Water District,0.5,0.5,0.5,0.5,0.5,
Cost for rationing program ($/capita),Southern California,Crestline-Lake Arrowhead Water Agency,0.5,0.5,0.5,0.5,0.5,
Cost for rationing program ($/capita),Southern California,Desert Water Agency,0.5,0.5,0.5,0.5,0.5,
Cost for rationing program ($/capita),Southern California,Metropolitan Water District of Southern California,0.5,0.5,0.5,0.5,0.5,
Cost for rationing program ($/capita),Southern California,Mojave Water Agency,0.5,0.5,0.5,0.5,0.5,
Cost for rationing program ($/capita),Southern California,Palmdale Water District & Littlerock Creek Irrigation District,0.5,0.5,0.5,0.5,0.5,
Cost for rationing program ($/capita),Southern California,San Bernardino Valley Municipal Water District,0.5,0.5,0.5,0.5,0.5,
Cost for rationing program ($/capita),Southern California,San Gabriel Valley Municipal Water District,0.5,0.5,0.5,0.5,0.5,
Cost for rationing program ($/capita),Southern California,San Gorgonio Pass Water Agency,0.5,0.5,0.5,0.5,0.5,
Cost for rationing program ($/capita),Southern California,Ventura County Watershed Protection District,0.5,0.5,0.5,0.5,0.5,
